24.62500, 37.44841
25.00000, 38.79925
25.32031, 40.26266
25.65625, 41.66979
25.96875, 42.96435
26.25000, 44.20263
26.53906, 45.44090
26.92969, 47.24203
27.20313, 48.48030
27.43750, 49.60600
27.68750, 50.73171
27.92969, 51.85741
28.15625, 52.98311
28.47656, 54.55910
28.78906, 56.13508
29.21094, 58.27392
29.53906, 59.96248
29.92188, 61.87617
30.21875, 63.45216
30.60156, 65.59099
31.18750, 68.74296
31.57813, 70.99437
32.01563, 73.47092
32.46094, 76.06004
32.86719, 78.42402
33.31250, 81.06942
33.73438, 83.60225
34.15625, 86.36023
34.57813, 88.89306
35.00000, 91.59475
35.29688, 93.39587
